"","PlotID","StudyYear","FishTreatment","BirdTreatment","treatment","mean_temp","sd_temp","mean_DO","sd_DO"
"1","1C","Year1","Fish","Birds","Birds Fish",11.8672474009013,2.80631928013317,7.36228435672515,2.72636642176535
"2","1C","Year2","Fish","Birds","Birds Fish",10.9073410189662,2.32873377613377,8.72691706954258,1.80342111875935
"3","1E","Year1","Fish","NoBirds","NoBirds Fish",11.9766164011489,2.89618250632111,6.92205764319591,2.47528163957482
"4","1E","Year2","Fish","NoBirds","NoBirds Fish",11.0063297676134,2.30510290500279,8.13521209885651,2.97563681999631
"5","2C","Year1","NoFish","Birds","Birds NoFish",11.9889469204136,2.66491267944591,7.89192200557103,2.50812446427465
"6","2C","Year2","NoFish","Birds","Birds NoFish",11.0434869148544,2.33193858022811,9.58676004423148,1.95093531581279
"7","2E","Year1","NoFish","NoBirds","NoBirds NoFish",11.8157627462976,2.76753662939801,8.37139670932358,2.28991784244627
"8","2E","Year2","NoFish","NoBirds","NoBirds NoFish",10.8793876798229,2.26848228466703,7.42969752858724,3.83880674841164
"9","3C","Year1","NoFish","Birds","Birds NoFish",11.7952853950673,2.80266867831841,7.47136380255941,2.70905029106571
"10","3C","Year2","NoFish","Birds","Birds NoFish",11.1851930019439,2.38262983153674,9.33888642043877,1.47435240346265
"11","3E","Year1","NoFish","NoBirds","NoBirds NoFish",11.9542137905731,2.84837927770045,7.47969354250274,2.3673924445139
"12","3E","Year2","NoFish","NoBirds","NoBirds NoFish",10.9684439528024,2.31864247489859,9.50773230088496,1.42510022215145
"13","4C","Year1","Fish","Birds","Birds Fish",11.9550534499413,2.79542136691239,7.71314139941691,2.56777539477148
"14","4C","Year2","Fish","Birds","Birds Fish",10.9972342007435,2.25249188258048,9.74926765799257,1.09238676071678
"15","4E","Year1","Fish","NoBirds","NoBirds Fish",11.1798049340366,2.40883762817925,9.19399311531842,1.66110025099671
"16","4E","Year2","Fish","NoBirds","NoBirds Fish",10.7999261720192,2.23775446513823,8.66267257290513,3.43852979743708
"17","5C","Year1","NoFish","Birds","Birds NoFish",11.8349368732934,2.76702251000905,7.06856046766533,2.78138357017082
"18","5C","Year2","NoFish","Birds","Birds NoFish",10.914260420509,2.26303811501616,9.56321283659166,1.07362477317583
"19","5E","Year1","NoFish","NoBirds","NoBirds NoFish",11.9495586329818,2.83132517208943,7.33638848396501,2.83150194211891
"20","5E","Year2","NoFish","NoBirds","NoBirds NoFish",10.9627591294725,2.2609164586742,9.61371449649576,0.993243911029488
"21","6C","Year1","Fish","Birds","Birds Fish",11.8740676066224,2.78983826263766,8.37147070236709,2.45786787478937
"22","6C","Year2","Fish","Birds","Birds Fish",11.0263808322825,2.23859031574602,10.0744178226145,1.33035750089472
"23","6E","Year1","Fish","NoBirds","NoBirds Fish",11.8869450531899,2.79075250334919,7.83658875091308,2.69666911409244
"24","6E","Year2","Fish","NoBirds","NoBirds Fish",10.9452,2.31753376258265,6.92980408163265,4.09483079539798
"25","7C","Year1","Fish","Birds","Birds Fish",11.854495614042,2.8254938772214,7.3671600877193,2.74522848363829
"26","7C","Year2","Fish","Birds","Birds Fish",10.8611656215419,2.30265025525385,9.75624123939506,1.20209524925296
"27","7E","Year1","Fish","NoBirds","NoBirds Fish",11.9612752847588,2.84027599581517,7.97314118934695,2.70983488968025
"28","7E","Year2","Fish","NoBirds","NoBirds Fish",10.9720250829952,2.26327711836173,8.05850977499078,3.55880129179735
"29","8C","Year1","NoFish","Birds","Birds NoFish",11.7957892174655,2.88947095188099,6.95650967506389,2.56319079537671
"30","8C","Year2","NoFish","Birds","Birds NoFish",10.8919232189,2.37416349880659,7.91817644887412,2.68561022608119
"31","8E","Year1","NoFish","NoBirds","NoBirds NoFish",11.5945886654746,2.88174729367557,6.20444241316271,2.60521268051374
"32","8E","Year2","NoFish","NoBirds","NoBirds NoFish",10.8092619926199,2.35807943481297,5.50571586715867,4.06572477705971
